# injm1  injm2  injecc  pol  inc  maxmatch  maxm1  maxm2
0.100000 0.100000 0.005000 4.954511 -0.290010 0.919458 0.100001 0.100001
0.100000 0.100000 0.003000 1.805192 -1.396859 0.971272 0.100000 0.100000
0.100000 0.100000 0.001000 4.252562 -0.782497 0.998877 0.100000 0.100000
0.100000 0.100000 0.010000 0.273127 -1.425982 0.797896 0.100001 0.100001
0.100000 0.100000 0.002000 4.599254 -0.394144 0.990428 0.100000 0.100000
0.100000 0.100000 0.002000 3.761482 1.415961 0.990428 0.100000 0.100000
0.100000 0.100000 0.003000 0.838120 -1.209342 0.971272 0.100000 0.100000
0.100000 0.100000 0.051000 1.511669 0.342643 0.376447 0.100006 0.100006
0.100000 0.100000 0.004000 4.678714 1.051938 0.947106 0.100000 0.100000
0.100000 0.100000 0.010000 2.265094 -1.241570 0.797883 0.100001 0.100001
0.100000 0.100000 0.005000 1.768386 1.536275 0.919462 0.100001 0.100001
0.100000 0.100000 0.006000 0.485625 0.155649 0.889200 0.100001 0.100001
0.100000 0.100000 0.003000 1.564784 0.891686 0.971272 0.100000 0.100000
0.100000 0.100000 0.174000 4.763131 0.423593 0.159104 0.100025 0.100003
0.100000 0.100000 0.016000 4.578775 -1.214262 0.677367 0.100001 0.100001
0.100000 0.100000 0.029000 2.208337 1.490633 0.512805 0.100003 0.100003
0.100000 0.100000 0.027000 1.789836 -1.515849 0.532429 0.100003 0.100003
0.100000 0.100000 0.003000 1.878524 1.230164 0.971272 0.100000 0.100000
0.100000 0.100000 0.014000 5.820335 -0.625289 0.714410 0.100002 0.100001
0.100000 0.100000 0.008000 5.602110 -0.794629 0.844959 0.100002 0.100000
0.100000 0.100000 0.003000 2.157041 0.552077 0.971272 0.100000 0.100000
0.100000 0.100000 0.234000 4.046495 -1.430329 0.110552 0.100014 0.100014
0.100000 0.100000 0.001000 1.324311 1.015081 0.998877 0.100000 0.100000
0.100000 0.100000 0.010000 3.885659 -1.488744 0.797901 0.100001 0.100001
0.100000 0.100000 0.009000 2.858066 1.089072 0.824823 0.100002 0.100000
0.100000 0.100000 0.007000 2.212780 0.192157 0.871095 0.100001 0.100000
0.100000 0.100000 0.000000 1.161614 -0.250753 0.996687 0.100000 0.100000
0.100000 0.100000 0.406000 3.256466 -0.429646 0.055433 0.100025 0.100003
0.100000 0.100000 0.007000 3.040182 -1.278288 0.871096 0.100001 0.100000
0.100000 0.100000 0.003000 1.523815 1.481751 0.971272 0.100000 0.100000
0.100000 0.100000 0.004000 4.232992 1.521134 0.947106 0.100000 0.100000
0.100000 0.100000 0.033000 1.233957 -0.523351 0.478946 0.100007 0.100000
0.100000 0.100000 0.008000 2.582773 -1.296379 0.844958 0.100002 0.100000
0.100000 0.100000 0.007000 1.952705 -0.846731 0.871095 0.100001 0.100000
0.100000 0.100000 0.008000 3.116839 -0.423783 0.844957 0.100002 0.100000
0.100000 0.100000 0.003000 0.475147 -0.153291 0.971272 0.100000 0.100000
0.100000 0.100000 0.008000 5.446988 1.332146 0.844959 0.100002 0.100000
0.100000 0.100000 0.003000 0.528774 -1.074831 0.971272 0.100000 0.100000
0.100000 0.100000 0.008000 2.030617 -0.625575 0.844959 0.100002 0.100000
0.100000 0.100000 0.004000 4.183028 -0.983489 0.947106 0.100000 0.100000
0.100000 0.100000 0.360000 5.512407 1.019351 0.063875 0.100025 0.100003
0.100000 0.100000 0.000000 3.138773 -1.001069 0.996687 0.100000 0.100000
0.100000 0.100000 0.011000 5.316109 -1.464753 0.777349 0.100001 0.100001
0.100000 0.100000 0.003000 2.584915 -0.034220 0.971272 0.100000 0.100000
0.100000 0.100000 0.002000 0.302389 0.169461 0.990428 0.100000 0.100000
0.100000 0.100000 0.006000 3.302898 -0.325947 0.889203 0.100001 0.100001
0.100000 0.100000 0.005000 3.742218 -0.379823 0.919458 0.100001 0.100001
0.100000 0.100000 0.003000 2.826547 0.210795 0.971272 0.100000 0.100000
0.100000 0.100000 0.003000 1.804061 -0.883903 0.971272 0.100000 0.100000
0.100000 0.100000 0.002000 1.084758 -1.472142 0.990427 0.100000 0.100000
0.100000 0.100000 0.002000 2.278820 -1.086088 0.990427 0.100000 0.100000
0.100000 0.100000 0.003000 4.266967 -1.150767 0.971272 0.100000 0.100000
0.100000 0.100000 0.001000 4.309590 0.144047 0.998877 0.100000 0.100000
0.100000 0.100000 0.004000 2.083453 1.127381 0.947103 0.100000 0.100000
0.100000 0.100000 0.010000 3.657004 -0.755957 0.797898 0.100001 0.100001
0.100000 0.100000 0.003000 0.706935 -1.434574 0.971272 0.100000 0.100000
0.100000 0.100000 0.008000 2.200702 -0.640102 0.844959 0.100002 0.100000
0.100000 0.100000 0.003000 4.960005 0.970965 0.971272 0.100000 0.100000
0.100000 0.100000 0.003000 3.673347 1.342970 0.971272 0.100000 0.100000
0.100000 0.100000 0.002000 5.687352 1.170012 0.990428 0.100000 0.100000
0.100000 0.100000 0.115000 5.226958 -0.987794 0.227457 0.100014 0.100014
0.100000 0.100000 0.027000 1.248453 -0.356259 0.532427 0.100003 0.100003
0.100000 0.100000 0.005000 3.361269 -1.235468 0.919458 0.100001 0.100001
0.100000 0.100000 0.009000 2.319671 0.579129 0.824824 0.100002 0.100000
0.100000 0.100000 0.006000 3.216350 0.448274 0.889203 0.100001 0.100001
0.100000 0.100000 0.002000 3.834359 0.121331 0.990428 0.100000 0.100000
0.100000 0.100000 0.003000 5.406915 -0.935559 0.971272 0.100000 0.100000
0.100000 0.100000 0.032000 2.055137 0.893933 0.486835 0.100003 0.100003
0.100000 0.100000 0.014000 5.580164 0.216582 0.714412 0.100002 0.100001
0.100000 0.100000 0.007000 5.841215 -1.363564 0.871105 0.100001 0.100000
0.100000 0.100000 0.001000 2.103313 -0.594296 0.998877 0.100000 0.100000
0.100000 0.100000 0.334000 1.217138 1.002128 0.071084 0.100025 0.100003
0.100000 0.100000 0.001000 4.735714 1.316670 0.998877 0.100000 0.100000
0.100000 0.100000 0.027000 0.875339 0.446721 0.532423 0.100003 0.100003
0.100000 0.100000 0.364000 5.018355 -1.419431 0.062735 0.100014 0.100014
0.100000 0.100000 0.005000 5.027231 0.568512 0.919459 0.100001 0.100001
0.100000 0.100000 0.035000 3.146509 0.002099 0.464210 0.100004 0.100004
0.100000 0.100000 0.003000 0.937314 -0.100319 0.971272 0.100000 0.100000
0.100000 0.100000 0.099000 1.695637 0.068850 0.252083 0.100014 0.100014
0.100000 0.100000 0.014000 4.237895 0.626454 0.714413 0.100002 0.100001
0.100000 0.100000 0.041000 5.862881 -0.454214 0.425675 0.100005 0.100005
0.100000 0.100000 0.001000 5.741695 -0.499988 0.998877 0.100000 0.100000
0.100000 0.100000 0.006000 3.920074 -0.706149 0.889203 0.100001 0.100001
0.100000 0.100000 0.305000 4.888584 0.437406 0.080641 0.100025 0.100003
0.100000 0.100000 0.037000 4.169784 -0.763274 0.450128 0.100004 0.100004
0.100000 0.100000 0.004000 4.882855 0.577386 0.947106 0.100000 0.100000
0.100000 0.100000 0.758000 1.522531 -1.426154 0.024564 0.100013 0.100013
0.100000 0.100000 0.001000 3.948856 -0.407646 0.998877 0.100000 0.100000
0.100000 0.100000 0.003000 1.873928 0.378165 0.971272 0.100000 0.100000
0.100000 0.100000 0.007000 4.107938 0.028127 0.871102 0.100001 0.100000
0.100000 0.100000 0.002000 0.959051 -0.934288 0.990427 0.100000 0.100000
0.100000 0.100000 0.013000 4.741246 -0.920194 0.733730 0.100001 0.100001
0.100000 0.100000 0.002000 6.100194 0.490918 0.990428 0.100000 0.100000
0.100000 0.100000 0.057000 0.614698 1.429115 0.352462 0.100010 0.100003
0.100000 0.100000 0.015000 3.319667 0.463545 0.694152 0.100002 0.100001
0.100000 0.100000 0.016000 5.631526 0.022461 0.677374 0.100001 0.100001
0.100000 0.100000 0.008000 1.621694 -0.000960 0.844960 0.100002 0.100000
0.100000 0.100000 0.000000 0.608977 -0.766746 0.996687 0.100000 0.100000
0.100000 0.100000 0.002000 6.192023 -1.089962 0.990428 0.100000 0.100000
0.100000 0.100000 0.003000 5.683127 -1.075412 0.971272 0.100000 0.100000
0.100000 0.100000 0.003000 1.862962 -0.939325 0.971272 0.100000 0.100000
0.100000 0.100000 0.017000 0.586433 -0.537148 0.659037 0.100003 0.100000
0.100000 0.100000 0.000000 2.668646 1.212279 0.996687 0.100000 0.100000
0.100000 0.100000 0.049000 3.008827 0.906606 0.384968 0.100006 0.100006
0.100000 0.100000 0.007000 1.930452 0.334122 0.871095 0.100001 0.100000
0.100000 0.100000 0.012000 6.044446 0.494837 0.755243 0.100001 0.100001
0.100000 0.100000 0.005000 4.334528 0.689221 0.919458 0.100001 0.100001
0.100000 0.100000 0.004000 2.660508 0.336845 0.947103 0.100000 0.100000
0.100000 0.100000 0.007000 5.569162 -0.851989 0.871105 0.100001 0.100000
0.100000 0.100000 0.057000 4.517145 -0.971732 0.352516 0.100010 0.100003
0.100000 0.100000 0.016000 5.134841 -0.896338 0.677369 0.100001 0.100001
0.100000 0.100000 0.001000 5.679249 1.286490 0.998877 0.100000 0.100000
0.100000 0.100000 0.023000 2.809550 1.058541 0.575632 0.100002 0.100002
0.100000 0.100000 0.003000 1.788075 1.477289 0.971272 0.100000 0.100000
0.100000 0.100000 0.006000 1.892646 0.729689 0.889201 0.100001 0.100001
0.100000 0.100000 0.001000 4.904547 0.211081 0.998877 0.100000 0.100000
0.100000 0.100000 0.031000 5.186739 0.541229 0.494939 0.100003 0.100003
0.100000 0.100000 0.008000 0.197583 -0.037453 0.844961 0.100002 0.100000
0.100000 0.100000 0.000000 2.667323 0.136361 0.996687 0.100000 0.100000
0.100000 0.100000 0.001000 5.307885 -0.696273 0.998877 0.100000 0.100000
0.100000 0.100000 0.014000 0.178909 0.051518 0.714405 0.100002 0.100001
0.100000 0.100000 0.039000 1.077702 0.222009 0.437900 0.100006 0.100003
0.100000 0.100000 0.009000 1.880443 0.306876 0.824826 0.100002 0.100000
0.100000 0.100000 0.031000 4.591377 0.552879 0.494929 0.100003 0.100003
0.100000 0.100000 0.009000 1.074071 -0.213279 0.824834 0.100002 0.100000
0.100000 0.100000 0.005000 5.200167 -1.023483 0.919459 0.100001 0.100001
0.100000 0.100000 0.002000 5.073630 -1.106090 0.990428 0.100000 0.100000
0.100000 0.100000 0.024000 1.875371 -0.853576 0.564404 0.100002 0.100002
0.100000 0.100000 0.007000 5.399491 -1.307720 0.871105 0.100001 0.100000
0.100000 0.100000 0.001000 0.664050 -0.523055 0.998877 0.100000 0.100000
0.100000 0.100000 0.047000 2.824700 -1.543889 0.394449 0.100006 0.100006
0.100000 0.100000 0.019000 3.834118 1.427247 0.628852 0.100002 0.100002
0.100000 0.100000 0.004000 3.539958 -1.059644 0.947105 0.100000 0.100000
0.100000 0.100000 0.002000 1.415378 0.800418 0.990427 0.100000 0.100000
0.100000 0.100000 0.014000 3.644806 -0.836885 0.714410 0.100002 0.100001
0.100000 0.100000 0.014000 0.811249 -1.462764 0.714400 0.100002 0.100001
0.100000 0.100000 0.024000 4.393728 0.350164 0.564420 0.100002 0.100002
0.100000 0.100000 0.016000 1.222515 -0.026935 0.677396 0.100001 0.100001
0.100000 0.100000 0.014000 2.359895 -1.206187 0.714400 0.100002 0.100001
0.100000 0.100000 0.014000 3.850227 0.497802 0.714411 0.100002 0.100001
0.100000 0.100000 0.003000 2.739840 0.352393 0.971272 0.100000 0.100000
0.100000 0.100000 0.002000 4.833419 -1.039648 0.990428 0.100000 0.100000
0.100000 0.100000 0.024000 5.969130 -0.392520 0.564425 0.100002 0.100002
0.100000 0.100000 0.039000 0.475494 0.440780 0.437896 0.100006 0.100003
0.100000 0.100000 0.001000 5.623022 1.105795 0.998877 0.100000 0.100000
0.100000 0.100000 0.008000 2.742570 -1.338621 0.844957 0.100002 0.100000
0.100000 0.100000 0.023000 5.817499 -1.094430 0.575646 0.100002 0.100002
0.100000 0.100000 0.004000 3.068791 1.158447 0.947104 0.100000 0.100000
0.100000 0.100000 0.018000 2.599302 -0.954754 0.644283 0.100003 0.100000
0.100000 0.100000 0.002000 3.624146 0.637035 0.990428 0.100000 0.100000
0.100000 0.100000 0.000000 5.834839 -0.392169 0.996687 0.100000 0.100000
0.100000 0.100000 0.026000 0.183078 -0.475300 0.542001 0.100005 0.100000
0.100000 0.100000 0.002000 1.451175 -0.152646 0.990427 0.100000 0.100000
0.100000 0.100000 0.154000 5.562525 -0.630414 0.179849 0.100025 0.100003
0.100000 0.100000 0.011000 0.368350 1.390631 0.777351 0.100001 0.100001
0.100000 0.100000 0.177000 5.711104 0.248619 0.156260 0.100025 0.100003
0.100000 0.100000 0.011000 1.282070 1.092783 0.777346 0.100001 0.100001
0.100000 0.100000 0.001000 4.726662 -0.006813 0.998877 0.100000 0.100000
0.100000 0.100000 0.005000 3.918859 0.559064 0.919458 0.100001 0.100001
0.100000 0.100000 0.243000 2.997975 0.040711 0.106387 0.100025 0.100003
0.100000 0.100000 0.038000 1.463746 -1.221040 0.444082 0.100004 0.100004
0.100000 0.100000 0.005000 0.954696 -0.908650 0.919463 0.100001 0.100001
0.100000 0.100000 0.005000 1.642916 -1.077592 0.919462 0.100001 0.100001
0.100000 0.100000 0.010000 2.838196 0.635262 0.797888 0.100001 0.100001
0.100000 0.100000 0.017000 1.425350 0.617226 0.659049 0.100003 0.100000
0.100000 0.100000 0.005000 3.464013 -0.671863 0.919458 0.100001 0.100001
