# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.803500 0.277356 0.097085 0.655288 0.594662 0.360249
0.473429 0.446020 0.002556 0.987739 0.459478 0.459478
0.535109 0.396315 0.097474 0.560234 0.459677 0.459677
0.648533 0.332734 0.188361 0.444409 0.460121 0.460121
0.559885 0.379908 0.170159 0.417018 0.459867 0.459867
0.631077 0.340849 0.030833 0.891019 0.595091 0.359380
0.791452 0.280831 0.148010 0.548184 0.460275 0.460275
0.938206 0.244791 0.052663 0.792914 0.880324 0.257697
0.900142 0.252976 0.106748 0.631426 0.668451 0.324827
0.461034 0.457931 0.002915 0.991481 0.459478 0.459478
0.751597 0.293171 0.183749 0.474438 0.525546 0.404522
0.766236 0.288480 0.180143 0.483285 0.562913 0.379303
0.734309 0.298970 0.006684 0.998768 0.730150 0.300417
0.863932 0.261449 0.191390 0.462744 0.711351 0.308137
0.561542 0.378870 0.027442 0.902175 0.459560 0.459560
0.483145 0.437192 0.155540 0.408005 0.459777 0.459777
0.638963 0.337122 0.047508 0.815542 0.563721 0.377752
0.498503 0.424064 0.164856 0.397191 0.459758 0.459758
0.901967 0.252568 0.193150 0.457911 0.750731 0.294399
0.678059 0.320056 0.194520 0.446951 0.460220 0.460220
0.824992 0.271420 0.090690 0.670294 0.668619 0.324528
0.616020 0.348262 0.121808 0.558578 0.459858 0.459858
0.664965 0.325525 0.155105 0.506793 0.460066 0.460066
0.465931 0.453135 0.128323 0.453360 0.459713 0.459713
0.670558 0.323160 0.144404 0.531954 0.460039 0.460039
0.880472 0.257490 0.102789 0.640637 0.689259 0.316232
0.662181 0.326719 0.154633 0.508150 0.460057 0.460057
0.760013 0.290451 0.174086 0.494264 0.527464 0.403110
0.463514 0.455487 0.001609 0.993695 0.459478 0.459478
0.821987 0.272230 0.061947 0.757680 0.731233 0.300312
0.590115 0.362017 0.191521 0.405614 0.459976 0.459976
0.933411 0.245785 0.102623 0.640342 0.751296 0.293882
0.678774 0.319764 0.063657 0.754175 0.563828 0.377829
0.857091 0.263133 0.107840 0.629182 0.645866 0.334716
0.861762 0.261980 0.044251 0.826986 0.807391 0.276407
0.927252 0.247077 0.169764 0.502824 0.750731 0.294399
0.620347 0.346091 0.035779 0.866649 0.564103 0.377444
0.841873 0.266980 0.010873 0.974332 0.843864 0.266478
0.905609 0.251758 0.072308 0.722750 0.788792 0.281961
0.880729 0.257430 0.055080 0.783163 0.825846 0.271376
0.590414 0.361851 0.106000 0.585063 0.459777 0.459777
0.565386 0.376490 0.061184 0.735812 0.459632 0.459632
0.490826 0.430504 0.060895 0.666924 0.459569 0.459569
0.486043 0.434639 0.022348 0.888603 0.459505 0.459505
0.584522 0.365168 0.049980 0.804307 0.459632 0.459632
0.771717 0.286772 0.044658 0.824593 0.710589 0.307598
0.510974 0.414087 0.104633 0.521441 0.459659 0.459659
0.844022 0.266428 0.110140 0.624269 0.593922 0.360833
0.560204 0.379708 0.009120 0.981912 0.565048 0.376704
0.612706 0.349949 0.072146 0.717596 0.459722 0.459722
0.636295 0.338371 0.044616 0.826287 0.564768 0.377090
0.832482 0.269426 0.137745 0.570241 0.460293 0.460293
0.723991 0.302572 0.032746 0.880478 0.689361 0.315624
0.592976 0.360431 0.014065 0.980382 0.565090 0.376720
0.715391 0.305660 0.188202 0.466230 0.460275 0.460275
0.938804 0.244668 0.058933 0.766945 0.844161 0.266639
0.499493 0.423251 0.106117 0.510997 0.459659 0.459659
0.904906 0.251914 0.038304 0.853456 0.861999 0.262033
0.910465 0.250688 0.013580 0.974872 0.897125 0.253682
0.493755 0.428019 0.157397 0.407020 0.459740 0.459740
0.812633 0.274793 0.131267 0.581656 0.460230 0.460230
0.766101 0.288523 0.127504 0.585560 0.460148 0.460148
0.787491 0.281998 0.115121 0.613657 0.460121 0.460121
0.733409 0.299279 0.007813 0.996826 0.730150 0.300417
0.630622 0.341067 0.071563 0.719189 0.459740 0.459740
0.805044 0.276918 0.130075 0.583258 0.460211 0.460211
0.897852 0.253492 0.101091 0.643928 0.689472 0.316159
0.849979 0.264913 0.175720 0.492675 0.667724 0.325435
0.473646 0.445818 0.036368 0.795788 0.459523 0.459523
0.531959 0.398528 0.170447 0.401996 0.459795 0.459795
0.638573 0.337304 0.150027 0.506187 0.459994 0.459994
0.828180 0.270567 0.133220 0.577898 0.460266 0.460266
0.903889 0.252140 0.197579 0.449524 0.770190 0.288154
0.583607 0.365691 0.051394 0.798365 0.459632 0.459632
0.814792 0.274196 0.005661 0.991061 0.808022 0.276090
0.593464 0.360162 0.019507 0.946234 0.563944 0.377443
0.764814 0.288927 0.152250 0.536665 0.460248 0.460248
0.763175 0.289445 0.049388 0.807697 0.689467 0.315698
0.603687 0.354645 0.027626 0.909372 0.564263 0.377288
0.533263 0.397608 0.066289 0.675587 0.459605 0.459605
0.741230 0.296613 0.016600 0.949570 0.710710 0.307430
0.556443 0.382087 0.134395 0.480341 0.459767 0.459767
0.757065 0.291396 0.161319 0.519597 0.460275 0.460275
0.685313 0.317125 0.196548 0.445669 0.460230 0.460230
0.828787 0.270405 0.127132 0.589158 0.527446 0.403000
0.624817 0.343883 0.117626 0.573834 0.459876 0.459876
0.842240 0.266885 0.179543 0.483842 0.667704 0.325420
0.870372 0.259889 0.178306 0.488273 0.689494 0.316510
0.899126 0.253205 0.163167 0.518167 0.689494 0.316510
0.867016 0.260699 0.007178 0.997665 0.861603 0.262028
0.484222 0.436239 0.138352 0.436610 0.459740 0.459740
0.535082 0.396333 0.075736 0.635432 0.459623 0.459623
0.856594 0.263256 0.103702 0.638724 0.621054 0.346550
0.606559 0.353132 0.131590 0.526647 0.459876 0.459876
0.615207 0.348674 0.038770 0.854297 0.527256 0.402102
0.505612 0.418306 0.009745 0.990825 0.459496 0.459496
0.906319 0.251601 0.057822 0.772702 0.844036 0.266624
0.545141 0.389464 0.144193 0.454484 0.459786 0.459786
0.571751 0.372628 0.004323 0.990982 0.565048 0.376704
0.739427 0.297223 0.041185 0.840901 0.690042 0.315401
0.904762 0.251946 0.010155 0.987348 0.897143 0.253669
0.859936 0.262429 0.060454 0.761096 0.769719 0.287656
0.948937 0.242605 0.132782 0.578568 0.667704 0.325420
0.860092 0.262391 0.061623 0.757986 0.770233 0.287506
0.683904 0.317689 0.116718 0.597124 0.459976 0.459976
0.466690 0.452402 0.041692 0.758851 0.459532 0.459532
0.770553 0.287133 0.096336 0.657283 0.526028 0.403642
0.883573 0.256765 0.084108 0.687992 0.730440 0.300785
0.853892 0.263930 0.171836 0.500023 0.667704 0.325420
0.578124 0.368858 0.034232 0.869831 0.459587 0.459587
0.463696 0.455308 0.067773 0.626727 0.459578 0.459578
0.865629 0.261036 0.054107 0.785920 0.789450 0.281635
0.943777 0.243650 0.138208 0.568457 0.668176 0.325232
0.834853 0.268803 0.044081 0.826035 0.788399 0.281875
0.638495 0.337340 0.162390 0.483458 0.460021 0.460021
0.461176 0.457790 0.103460 0.508710 0.459632 0.459632
0.913286 0.250072 0.189393 0.464540 0.770349 0.288094
0.913668 0.249988 0.153092 0.538980 0.689672 0.316429
0.640015 0.336632 0.056479 0.777901 0.527444 0.402089
0.783813 0.283093 0.044209 0.824296 0.731200 0.300204
0.952166 0.241956 0.137244 0.570059 0.690538 0.316074
0.896913 0.253703 0.033428 0.880677 0.861403 0.262162
0.502731 0.420616 0.078488 0.601038 0.459605 0.459605
0.636971 0.338053 0.123610 0.564983 0.459903 0.459903
0.633299 0.339788 0.082386 0.685805 0.459777 0.459777
0.650735 0.331744 0.192003 0.439601 0.460139 0.460139
0.674740 0.321420 0.139902 0.540827 0.460039 0.460039
0.838277 0.267910 0.199973 0.447765 0.689494 0.316510
0.920001 0.248620 0.044013 0.828530 0.879079 0.257946
0.757745 0.291178 0.072211 0.724404 0.621218 0.346106
0.611051 0.350799 0.147968 0.494054 0.459921 0.459921
0.821382 0.272394 0.199291 0.448097 0.667724 0.325435
0.770800 0.287056 0.063269 0.751664 0.667720 0.324682
0.761754 0.289896 0.027309 0.908533 0.730937 0.300219
0.917214 0.249220 0.076796 0.709240 0.788478 0.282085
0.693124 0.314043 0.174025 0.482203 0.460175 0.460175
0.532842 0.397904 0.116455 0.506862 0.459713 0.459713
0.715493 0.305623 0.055768 0.782360 0.620413 0.346353
0.781890 0.283670 0.037182 0.859733 0.750305 0.293707
0.562291 0.378404 0.082220 0.638653 0.459686 0.459686
0.751354 0.293251 0.023475 0.925902 0.730218 0.300448
0.653662 0.330441 0.136994 0.541667 0.459985 0.459985
0.833629 0.269125 0.087522 0.678422 0.668619 0.324528
0.674729 0.321425 0.111246 0.610506 0.459930 0.459930
0.893219 0.254542 0.073416 0.719180 0.770463 0.287528
0.572694 0.372064 0.061587 0.740161 0.459650 0.459650
0.759983 0.290460 0.103878 0.639015 0.460030 0.460030
0.630501 0.341125 0.153660 0.495391 0.459976 0.459976
0.860805 0.262215 0.157844 0.528133 0.645758 0.335089
0.623384 0.344587 0.174112 0.451540 0.460021 0.460021
0.636312 0.338363 0.037584 0.857741 0.565513 0.376603
0.945644 0.243270 0.053901 0.783411 0.879095 0.257997
0.925425 0.247463 0.099238 0.648299 0.730971 0.300743
0.773825 0.286122 0.147824 0.546563 0.460248 0.460248
0.734365 0.298950 0.038990 0.849119 0.667611 0.324572
0.914442 0.249820 0.085144 0.685527 0.770546 0.287585
0.902368 0.252479 0.162917 0.517321 0.710540 0.308415
0.855712 0.263475 0.147079 0.550165 0.593480 0.361363
0.907470 0.251346 0.173601 0.497007 0.730935 0.301106
0.576762 0.369656 0.076676 0.677928 0.459686 0.459686
0.653406 0.330554 0.195891 0.434839 0.460157 0.460157
0.678102 0.320039 0.178639 0.470112 0.460157 0.460157
0.874989 0.258785 0.041943 0.836369 0.826155 0.271244
0.555819 0.382485 0.148366 0.451324 0.459822 0.459822
0.566970 0.375519 0.132629 0.494514 0.459795 0.459795
0.580195 0.367654 0.145803 0.476122 0.459849 0.459849
0.949063 0.242579 0.112248 0.618971 0.710283 0.308319
0.604096 0.354428 0.024993 0.915991 0.564690 0.377009
0.477367 0.442390 0.079518 0.584426 0.459605 0.459605
0.938959 0.244636 0.156262 0.531442 0.730485 0.301252
0.928945 0.246720 0.102199 0.641151 0.730957 0.300769
0.636558 0.338248 0.036539 0.859618 0.565419 0.376646
0.564816 0.376840 0.170703 0.418375 0.459849 0.459849
0.689601 0.315424 0.191074 0.456782 0.460230 0.460230
0.746536 0.294839 0.196843 0.452802 0.564200 0.378516
0.608102 0.352327 0.172752 0.446140 0.459967 0.459967
0.842993 0.266692 0.056981 0.776883 0.769893 0.287571
0.498416 0.424136 0.014651 0.956372 0.459496 0.459496
