# injm1  injm2  injecc  maxmatch  maxm1  maxm2
0.669101 0.669101 0.097085 0.613335 0.669382 0.669382
0.118435 0.118435 0.002556 0.974151 0.118436 0.118436
0.205064 0.205064 0.097474 0.364168 0.205105 0.205105
0.384731 0.384731 0.188361 0.332726 0.385002 0.385002
0.242121 0.242121 0.170159 0.280292 0.257059 0.228437
0.355446 0.355446 0.030833 0.779850 0.355468 0.355468
0.645475 0.645475 0.148010 0.487407 0.645889 0.645889
0.949803 0.949803 0.052663 0.840076 0.950012 0.950012
0.867462 0.867462 0.106748 0.631682 0.949626 0.794357
0.102033 0.102033 0.002915 0.979617 0.102034 0.102034
0.569103 0.569103 0.183749 0.403934 0.612710 0.530089
0.596834 0.596834 0.180143 0.421467 0.597364 0.597364
0.536840 0.536840 0.006684 0.989212 0.536841 0.536841
0.791321 0.791321 0.191390 0.460556 0.827251 0.759006
0.244645 0.244645 0.027442 0.731328 0.244657 0.244657
0.131533 0.131533 0.155540 0.214150 0.131561 0.131561
0.368605 0.368605 0.047508 0.672840 0.368644 0.368644
0.152661 0.152661 0.164856 0.224941 0.152703 0.152703
0.871355 0.871355 0.193150 0.476444 0.935539 0.814290
0.435569 0.435569 0.194520 0.346516 0.435895 0.435895
0.711863 0.711863 0.090690 0.646391 0.712163 0.712163
0.330652 0.330652 0.121808 0.401514 0.330775 0.330775
0.412823 0.412823 0.155105 0.387095 0.413060 0.413060
0.108471 0.108471 0.128323 0.220774 0.108845 0.108134
0.422500 0.422500 0.144404 0.407909 0.422725 0.422725
0.825833 0.825833 0.102789 0.632729 0.898062 0.761082
0.408029 0.408029 0.154633 0.385714 0.408257 0.408257
0.585000 0.585000 0.174086 0.425933 0.585493 0.585493
0.105286 0.105286 0.001609 0.997896 0.105287 0.105287
0.705837 0.705837 0.061947 0.746408 0.706032 0.706032
0.289022 0.289022 0.191521 0.283889 0.310386 0.269685
0.939302 0.939302 0.102623 0.674371 0.939869 0.939869
0.436820 0.436820 0.063657 0.631169 0.436903 0.436903
0.777177 0.777177 0.107840 0.618232 0.777597 0.777597
0.786825 0.786825 0.044251 0.826193 0.855768 0.724634
0.925867 0.925867 0.169764 0.527252 0.965081 0.890169
0.337732 0.337732 0.035779 0.729938 0.337760 0.337760
0.745996 0.745996 0.010873 0.988949 0.746019 0.746019
0.879144 0.879144 0.072308 0.749193 0.907118 0.852767
0.826372 0.826372 0.055080 0.789496 0.894234 0.764948
0.289496 0.289496 0.106000 0.405060 0.308719 0.271836
